Frequency (Hz)	Level (dB)
701.847839	-105.491806
702.520752	-100.545288
703.193665	-94.713196
703.866577	-95.626266
704.539490	-97.940567
705.212402	-107.814629
705.885315	-105.512108
706.558228	-97.036041
707.231140	-106.360054
707.904053	-97.953835
708.576965	-96.876167
709.249878	-97.933052
709.922791	-101.780136
710.595703	-104.619576
711.268616	-111.305519
711.941528	-99.446953
712.614441	-94.558571
713.287354	-94.233002
713.960266	-102.072876
714.633179	-105.830376
715.306091	-96.929337
715.979004	-98.456917
716.651917	-100.380997
717.324829	-103.622696
717.997742	-100.781738
718.670654	-99.510307
719.343567	-93.054810
720.016479	-92.645927
720.689392	-91.900131
721.362305	-93.207001
722.035217	-98.161446
722.708130	-100.495293
723.381042	-102.291374
724.053955	-104.024132
724.726868	-100.413017
725.399780	-101.930473
726.072693	-93.131073
726.745605	-95.109230
727.418518	-98.406830
728.091431	-95.932137
728.764343	-106.352257
729.437256	-103.689270
730.110168	-100.772057
730.783081	-104.382355
731.455994	-114.209038
732.128906	-103.835831
732.801819	-107.392509
733.474731	-104.666634
734.147644	-102.664650
734.820557	-98.120331
735.493469	-94.849205
736.166382	-106.337929
736.839294	-103.510262
737.512207	-97.496307
738.185120	-85.180084
738.858032	-87.269196
739.530945	-97.874489
740.203857	-97.530006
740.876770	-94.604637
741.549683	-94.309090
742.222595	-100.183632
742.895508	-108.370171
743.568420	-99.161522
744.241333	-99.735474
744.914246	-116.646393
745.587158	-97.622910
746.260071	-94.286270
746.932983	-101.999985
747.605896	-96.171852
748.278809	-103.741043
748.951721	-96.009636
749.624634	-96.613174
750.297546	-105.004875
750.970459	-105.882095
751.643372	-106.986115
752.316284	-103.142982
752.989197	-97.851753
753.662109	-100.971794
754.335022	-105.852409
755.007935	-96.279053
755.680847	-97.424118
756.353760	-99.663063
757.026672	-118.913025
757.699585	-92.694366
758.372498	-91.750648
759.045410	-96.167633
759.718323	-116.889122
760.391235	-105.044945
761.064148	-100.933197
761.737061	-106.448616
762.409973	-103.656044
763.082886	-101.755165
763.755798	-100.962463
764.428711	-102.317917
765.101624	-100.650589
765.774536	-107.565163
766.447449	-105.388489
767.120361	-111.713020
767.793274	-94.475540
768.466187	-94.630287
769.139099	-102.482544
769.812012	-102.667870
770.484924	-96.082695
771.157837	-93.217705
771.830750	-94.999092
772.503662	-98.384354
773.176575	-97.738342
773.849487	-94.497231
774.522400	-94.821175
775.195312	-98.101646
775.868225	-94.396744
776.541138	-95.168243
777.214050	-108.230072
777.886963	-99.703079
778.559875	-95.926910
779.232788	-95.729568
779.905701	-99.553040
780.578613	-94.087524
781.251526	-97.310410
781.924438	-98.597221
782.597351	-98.693596
783.270264	-96.869553
783.943176	-89.894028
784.616089	-91.833839
785.289001	-96.084000
785.961914	-101.024628
786.634827	-100.701591
787.307739	-102.709274
787.980652	-111.410851
788.653564	-101.249718
789.326477	-100.145378
789.999390	-110.619591
790.672302	-109.611946
791.345215	-101.905899
792.018127	-106.169495
792.691040	-106.138939
793.363953	-101.051575
794.036865	-90.763847
794.709778	-88.487343
795.382690	-92.525543
796.055603	-101.899879
796.728516	-97.302551
797.401428	-100.695541
798.074341	-94.910011
798.747253	-95.457657
799.420166	-97.506752
800.093079	-93.481079
800.765991	-104.930573
801.438904	-107.606979
802.111816	-95.426521
802.784729	-94.508606
803.457642	-94.231697
804.130554	-105.133514
804.803467	-108.560287
805.476379	-98.312836
806.149292	-103.983780
806.822205	-89.990097
807.495117	-93.824860
808.168030	-97.782257
808.840942	-93.637291
809.513855	-98.023415
810.186768	-94.253059
810.859680	-93.971046
811.532593	-91.837807
812.205505	-92.786751
812.878418	-93.926567
813.551331	-99.454575
814.224243	-92.034653
814.897156	-94.260208
815.570068	-89.765709
816.242981	-91.547646
816.915894	-94.648209
